condition,used_guild,worker,provider,model,task_type,correct,price,latency_ms
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,291.0
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,586.8
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,315.1
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,246.0
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,704.9
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,715.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,False,0.014,786.3
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,834.6
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,621.9
A,False,Budget-Guess,mock,mock-1,support,False,0.003,244.4
A,False,Sloppy-Claude,mock,mock-1,support,True,0.008,515.5
A,False,Sci-Specialist,mock,mock-1,support,True,0.011,705.7
A,False,Haiku-Reliable,mock,mock-1,support,True,0.014,759.8
A,False,Atlas-Premium,mock,mock-1,support,True,0.02,1176.1
A,False,Budget-Guess,mock,mock-1,support,False,0.003,250.0
A,False,Mini-Fast,mock,mock-1,support,True,0.006,448.7
A,False,Haiku-Reliable,mock,mock-1,support,True,0.014,867.5
A,False,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1190.3
A,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,595.4
A,False,Sloppy-Claude,mock,mock-1,contradiction,True,0.008,409.4
A,False,Sloppy-Claude,mock,mock-1,contradiction,True,0.008,598.6
A,False,Atlas-Premium,mock,mock-1,contradiction,True,0.02,966.7
A,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,741.2
A,False,Budget-Guess,mock,mock-1,contradiction,True,0.003,307.4
A,False,Budget-Guess,mock,mock-1,contradiction,True,0.003,315.4
A,False,Sloppy-Claude,mock,mock-1,summary,True,0.008,484.2
A,False,Sloppy-Claude,mock,mock-1,summary,False,0.008,438.6
A,False,Sci-Specialist,mock,mock-1,summary,True,0.011,794.7
A,False,Sloppy-Claude,mock,mock-1,summary,True,0.008,409.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,775.5
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,586.8
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,681.3
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
A,False,Atlas-Premium,mock,mock-1,fact_check,False,0.02,972.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,834.6
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,747.1
A,False,Sci-Specialist,mock,mock-1,support,True,0.011,647.1
A,False,Atlas-Premium,mock,mock-1,support,True,0.02,1196.0
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1242.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1121.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1244.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
